ts_datetime,ts_frc,hh_datetime,hh_frc,ts_cond,ts_wattemp
2019-08-18T08:48:00.000+06,0.09,2019-08-18T14:56:00.000+06,0.02,,27.1
2019-08-15T08:39:00.000+06,0.69,2019-08-15T15:37:00.000+06,0.35,311,28.8
2019-08-18T09:00:00.000+06,0.1,2019-08-18T15:05:00.000+06,0.03,,26.9
2019-08-15T08:50:00.000+06,0.51,2019-08-15T15:25:00.000+06,0.34,309,28.8
2019-08-18T09:15:00.000+06,0.1,2019-08-18T15:24:00.000+06,0.06,,27.3
2019-08-15T09:06:00.000+06,0.59,2019-08-15T15:13:00.000+06,0.34,311,28.8
2019-08-18T09:33:00.000+06,0.13,2019-08-18T15:14:00.000+06,0.04,,27.3
2019-08-17T08:10:00.000+06,0.64,2019-08-17T15:11:00.000+06,0.53,315,27.6
2019-08-15T08:29:00.000+06,0.37,2019-08-15T15:53:00.000+06,0.11,301,28.8
2019-08-17T08:19:00.000+06,1.23,2019-08-17T15:22:00.000+06,0.86,314,27.7
2019-08-19T08:40:00.000+06,0.41,2019-08-19T14:58:00.000+06,0.1,,20.100000000000001
2019-08-15T08:44:00.000+06,0.57999999999999996,2019-08-15T15:04:00.000+06,0.02,293,28.4
2019-08-18T07:55:00.000+06,0.67,2019-08-18T15:33:00.000+06,0.46,312,27
2019-08-19T08:49:00.000+06,0.44,2019-08-19T15:08:00.000+06,0.06,,27.9
